ivestas_pavadinimas,ivestas_kodas,rastas_pavadinimas,kodas,kodo_atitikimas,amzius,starto_data,vadovas,adresas,mobilus_telefonas,tinklalapis
"VšĮ ""Kultūros kiemas""",302491316,"VŠĮ ""Kultūros Kiemas""",302491316,TAIP,16 metų 1 diena,2010-03-22,Daiva Klimavičienė,"Rokų g. 19A, LT-46136 Kaunas",+370 670 08700,http://www.kulturoskiemas.lt/
"VšĮ ""VILMEKSTA""",302491273,"VŠĮ ""Vilmeksta""",302491273,TAIP,,2010-03-22,,"Nemenčinės pl. 42E, Vilnius",,
Vertimų kaimo bendruomenė,302491227,Vertimų kaimo bendruomenė,302491227,TAIP,16 metų 1 diena,2010-03-22,Vaida Saročkienė,"Šlaito g. 3, Vertimų k., Jurbarko r.",+370 652 23928,
"Sporto klubas ""Pakiršinio Gerista""",302491106,"Sporto Klubas ""Pakiršinio Gerista""",302491106,TAIP,16 metų 3 dienos,2010-03-20,"Vilmantas Vėta, prezidentas","Taikos g. 2-37, Pakiršinio k., LT-82298 Radviliškio r.",+370 698 10427,http://www.gerista.eu
Stulpinų bendruomenė,302490919,Stulpinų Bendruomenė,302490919,TAIP,16 metų 4 dienos,2010-03-19,"Bronislovas Eirošius, pirmininkas","Gėlių g. 10, Telšiai",+370 685 19721,
"JONAVOS RAJONO UKRAINIEČIŲ ASOCIACIJA ""JUKRA""",302490812,"Jonavos Rajono Ukrainiečių Asociacija ""Jukra""",302490812,TAIP,16 metų 4 dienos,2010-03-19,"Nadiežda Arlauskienė, pirmininkas","A. Kulviečio g. 19-22, LT-55210 Jonava",+370 676 59799,
"Medžiotojų klubas ""Juodežeris""",302490673,"Medžiotojų Klubas ""Juodežeris""",302490673,TAIP,16 metų 4 dienos,2010-03-19,"Remigijus Balašaitis, pirmininkas","Pramonės g. 3, Tauragė",+370 686 46299,
"Krepšinio klubas ""Omega""",302490513,"Krepšinio Klubas ""Omega""",302490513,TAIP,16 metų 4 dienos,2010-03-19,Artūras Kvedaras,"V. Putvinskio g. 42A-2, Kaunas",+370 687 82881,
VILNIAUS KUPIŠKĖNŲ SPORTO KLUBAS,302490449,Vilniaus Kupiškėnų Sporto Klubas,302490449,TAIP,16 metų 4 dienos,2010-03-19,"Giedrius Kubilius, prezidentas","Vakarų g. 26-2, Antežerių k., Vilniaus r.",+370 689 86857,
"VšĮ ""Jaunas sportas""",302490132,"VŠĮ ""Jaunas Sportas""",302490132,TAIP,16 metų 5 dienos,2010-03-18,"Karolis Sipavičius, direktorius","Pramonės pr. 77-5, Kaunas",+370 672 47914,
SŪDUVOS fotoklubas,302490118,Sūduvos fotoklubas,302490118,TAIP,,2010-03-18,,"Gedimino g. 6-7, LT-68306 Marijampolė",,http://www.suduvosfotoklubas.lt/
"Smiginio klubas ""Apuokas""",302489767,"Smiginio Klubas ""Apuokas""",302489767,TAIP,,2010-03-18,,"Subačiaus g. 6-8, Vilnius",,
Asociacija BF Motorsport,302489735,Asociacija BF Motorsport,302489735,TAIP,16 metų 6 dienos,2010-03-17,,"S. Žukausko g. 16-52, Kaunas",+370 611 26973,http://www.BmwFan.lt
VšĮ Ritos Balkutės fondas,302489710,"Ritos Balkutės fondas, VšĮ",302489710,TAIP,16 metų 6 dienos,2010-03-17,"Rita Balkutė, direktorius","Minsko pl. 49A, Kuprioniškių k., LT-13279 Vilniaus r.",+370 616 17575,
"Kybartų Kristijono Donelaičio gimnazijos sporto klubas ""Kristido""",302489692,"Kybartų Kristijono Donelaičio Gimnazijos Sporto Klubas ""Kristido""",302489692,TAIP,,2010-03-17,,"J. Basanavičiaus g. 72, Kybartai, LT-70424 Vilkaviškio r.",,
"Jaunimo sporto klubas ""Mintonet""",302489646,"Jaunimo Sporto Klubas ""Mintonet""",302489646,TAIP,16 metų 6 dienos,2010-03-17,"Laimutis Kunigėnas, pirmininkas","Kovo 11-osios g. 47-58, Kaunas",+370 673 77487,
"Sporto ir pramogų klubas ""KITA GRUPĖ""",302489596,"Sporto ir Pramogų Klubas ""Kita Grupė""",302489596,TAIP,16 metų 6 dienos,2010-03-17,"Deivis Šemiotas, direktorius","Kovo 11-osios g. 65-7, Kaunas",+370 682 25471,
"VšĮ ""Laimės mokslas""",302489532,"VŠĮ ""Laimės Mokslas""",302489532,TAIP,16 metų 6 dienos,2010-03-17,"Rita Kairienė, direktorė","Baltijos pr. 99-20, LT-94116 Klaipėda",+370 665 92238,
Skuodo rajono Užluobės kaimo bendruomenė,302489297,Skuodo Rajono Užluobės Kaimo Bendruomenė,302489297,TAIP,16 metų 6 dienos,2010-03-17,,"Liepų g. 1, Mažųjų Rūšupių k., Skuodo r.",+370 670 86621,
Hotroad klubas,302489169,Hotroad Klubas,302489169,TAIP,16 metų 7 dienos,2010-03-16,"Egidijus Gradzickas, prezidentas","Raudondvario pl. 190A-47, Kaunas",+370 614 31745,
"SPORTO IR LAISVALAIKIO KLUBAS ""YZI""",302488989,"Sporto ir Laisvalaikio Klubas ""Yzi""",302488989,TAIP,16 metų 7 dienos,2010-03-16,"Mindaugas Levickas, prezidentas","Kuršių g. 7, Kaunas",+370 682 63515,
"Viešoji įstaiga ""Vyšnių sodas""",302488918,"Vyšnių sodas, VšĮ",302488918,TAIP,16 metų 8 dienos,2010-03-15,Monika Mužaitė,"Žemynos g. 37-45, Vilnius",,http://vysniusodas.lt
"Asociacija ""Olandų sporto klubas""",302488900,"Asociacija ""Olandų Sporto Klubas""",302488900,TAIP,16 metų 7 dienos,2010-03-16,"Mantas Žemaitis, prezidentas","Vokiečių g. 8-1, Vilnius",+370 671 87687,
"Vilniaus rankų lenkimo klubas ""IRON ARM""",302488875,"Vilniaus rankų lenkimo klubas ""IRON ARM""",302488875,TAIP,16 metų 8 dienos,2010-03-15,Šarūnas Manarka,"Laisvės pr. 69-24, LT-07189 Vilnius",+370 609 99099,https://www.youtube.com/@ltarmwrestling
"Automobilių sporto klubas ""JDM""",302488836,"Automobilių Sporto Klubas ""Jdm""",302488836,TAIP,,2010-03-15,,"Jonažolių g. 7-73, LT-04138 Vilnius",,
"SPORTO KLUBAS ""VIESULAS 09""",302488786,"Sporto Klubas ""Viesulas 09""",302488786,TAIP,,2010-03-15,,"Šeškinės g. 45C-42, Vilnius",,
"VšĮ ""ML sportas""",302488665,"ML sportas, VšĮ",302488665,TAIP,16 metų 8 dienos,2010-03-15,"Marijus Lukšėnas, direktorius","Pramonės pr. 15A, Kaunas",+370 699 24344,
"Visuomeninis sąjūdis ""Merkinės piramidė""",302488494,"Visuomeninis sąjūdis ""Merkinės piramidė""",302488494,TAIP,16 metų 15 dienų,2010-03-10,Povilas Žėkas,"Česukų k. 1, Česukų k., LT-65342 Varėnos r.",,https://merkinespiramide.lt
"UAB ""Druskininkų autobusų parkas"" profesinė sąjunga ""Solidarumas""",302488366,"UAB ""Druskininkų Autobusų Parkas"" Profesinė Sąjunga ""Solidarumas""",302488366,TAIP,,2010-03-10,,"Gardino g. 1, Druskininkai",,
Vilniaus Tinklinio Mokykla,302488277,Vilniaus Tinklinio Mokykla,302488277,TAIP,,2010-03-10,,"Subačiaus g. 45-92, LT-11349 Vilnius",,
"Viešoji įstaiga ""Eterio projektai""",302488245,"Eterio projektai, VšĮ",302488245,TAIP,,2010-03-16,,"Ežeraičio g. 10, Vilnius",,
"VšĮ ""Vilties slėnis""",302488170,"Vilties slėnis, VšĮ",302488170,TAIP,16 metų 16 dienų,2010-03-09,,"Nevėžio g. 15, Miežiškiai, Panevėžio r.",+370 616 32031,
"Asociacija ""Bendraukime""",302488067,"Asociacija ""Bendraukime""",302488067,TAIP,16 metų 14 dienų,2010-03-09,"Zita Jonauskienė, pirmininkas","Naftininkų g. 9, LT-89239 Mažeikiai",+370 686 06866,
"Klaipėdos krašto musulmonų bendruomenė ""Iman""",302488035,"Klaipėdos Krašto Musulmonų Bendruomenė ""Iman""",302488035,TAIP,16 metų 13 dienų,2010-03-10,Paulius Bergaudas,"Debreceno g. 3, LT-94175 Klaipėda",+370 671 77561,
Klubas Gintis,302487944,Klubas Gintis,302487944,TAIP,16 metų 14 dienų,2010-03-09,"Inesa Stankevičienė, prezidentas","Loretos Asanavičiūtės g. 4-267, Vilnius",+370 5 2459485,
"Kaimo bendruomenė ""Paitaičiai""",302487741,"Kaimo bendruomenė ""Paitaičiai""",302487741,TAIP,16 metų 14 dienų,2010-03-09,"Laimonas Gaubis, pirmininkas","Voveraičių g. 29, Paitaičių k., Šiaulių r.",+370 601 60065,
Utenos bitininkų draugija,302487517,Utenos bitininkų draugija,302487517,TAIP,16 metų 15 dienų,2010-03-08,"Kazys Maskoliūnas, pirmininkas","Dvaro g. 21, Avižienių k., Utenos r.",+370 686 75825,
Laivūnų klubas,302487442,Laivūnų Klubas,302487442,TAIP,16 metų 14 dienų,2010-03-09,"Gediminas Zabitis, prezidentas","Žalgirio 7-asis tak. 36, LT-99167 Šilutė",+370 604 02680,
Kėdainių tinklinio klubas,302487339,Kėdainių Tinklinio Klubas,302487339,TAIP,,2010-03-08,,"A. Kanapinsko g. 14-25, LT-57435 Kėdainiai",,
Druskininkų šeimos paramos centras,302487168,Druskininkų Šeimos Paramos Centras,302487168,TAIP,16 metų 18 dienų,2010-03-05,"Lilija Sereikienė, pirmininkas","Veisiejų g. 17, Druskininkai",+370 685 58732,
Perlojos sporto klubas,302487061,Perlojos sporto klubas,302487061,TAIP,16 metų 18 dienų,2010-03-05,"Rimas Ciūnys, prezidentas","Perliaus g. 15, Perlojos k., Varėnos r.",+370 611 21484,
"Asociacija ""TELŠIŲ BIČIULIŲ RATAS""",302486917,"Asociacija ""Telšių Bičiulių Ratas""",302486917,TAIP,16 metų 18 dienų,2010-03-05,"Alvydas Rimašauskas, pirmininkas","Birutės g. 50-2, Telšiai",+370 444 75309,
Žaislų muziejus,302486753,Žaislų muziejus,302486753,TAIP,16 metų 15 dienų,2010-03-08,Indrė Jovaišaitė-Blaževičienė,"Z. Sierakausko g. 17-4, LT-03105 Vilnius",+370 604 00449,http://zaislumuziejus.lt
"Kūrybos mokykla ""Dailės Artelė""",302486664,"Kūrybos Mokykla ""Dailės Artelė""",302486664,TAIP,16 metų 19 dienų,2010-03-04,"Nijolė Simona Pukinskaitė, direktorius","Musninkų g. 5-1, Vilnius",+370 601 12210,
"Radviliškio motoklubas ""Free Riders""",302486600,"Radviliškio motoklubas ""Free Riders""",302486600,TAIP,16 metų 19 dienų,2010-03-04,"Dainius Morkūnas, prezidentas","Beržų g. 12, Kutiškių k., LT-82102 Radviliškio r.",+370 683 19494,
"VšĮ ""JUVENTA""",302486447,"Juventa, VŠĮ",302486447,TAIP,16 metų 21 diena,2010-03-04,"Romualda Edita Naučiuvienė, direktorius","Žiogų tak. 42, Kaunas",+370 611 62974,http://www.juventa.net
"Alaus atributikos kolekcininkų klubas ""Humulus lupulus""",302486333,"Alaus Atributikos Kolekcininkų Klubas ""Humulus Lupulus""",302486333,TAIP,,2010-03-04,,"Aušros g. 50, Marijampolė",,
"Viešoji įstaiga ""FOTOSĄJŪDIS""",302486059,"Viešoji Įstaiga ""Fotosąjūdis""",302486059,TAIP,16 metų 20 dienų,2010-03-03,"Gintaras Kaltenis, direktorius","J. Jasinskio g. 7-3A, Vilnius",+370 687 96803,
"VšĮ ""Psichologinė parama ir konsultavimas""",302485719,"Psichologinė parama ir konsultavimas, VšĮ",302485719,TAIP,16 metų 21 diena,2010-03-02,"Danguolė Andriušaitienė, direktorius","Poilsio g. 4, Šilutė",+370 640 44733,
Šv. Ignaco Lojolos kolegija,302485644,Šv. Ignaco Lojolos Kolegija,302485644,TAIP,16 metų 21 diena,2010-03-02,"Aivaras Anužis, direktorius","Vilniaus g. 29, LT-44286 Kaunas",+370 663 46647,https://www.ilk.lt/
"Klubas ""URTA SPORT""",302485612,"Klubas ""Urta Sport""",302485612,TAIP,16 metų 21 diena,2010-03-02,Alvydas Banys,"Vytauto g. 51, Ariogala, Raseinių r.",+370 654 34697,
"VšĮ ""Woman on World""",302485594,"Woman on World, VšĮ",302485594,TAIP,16 metų 21 diena,2010-03-02,"Jūratė Slabadienė, direktorius","Ozo g. 30-5, Vilnius",+370 671 94915,
Rinkūnų bendruomenė,302485473,Rinkūnų bendruomenė,302485473,TAIP,16 metų 21 diena,2010-03-02,"Irena Kumštienė, pirmininkas","Ąžuolų g. 1, Rinkūnų k., Pasvalio r.",+370 622 26293,
Ukmergės g. 228A daugiabučio namo savininkų bendrija,302485402,Ukmergės g. 228A daugiabučio namo savininkų bendrija,302485402,TAIP,16 metų 21 diena,2010-03-02,Vladislav Kuznecov,"Ukmergės g. 228A-47, LT-07161 Vilnius",+370 607 48851,
"VšĮ ""Viena šeima""",302485345,"VŠĮ ""Viena šeima""",302485345,TAIP,16 metų 21 diena,2010-03-02,Rasa Maiboroda,"A. Juozapavičiaus g. 11-101, LT-09311 Vilnius",+370 684 88043,http://www.sypsenulietus.lt
Tauragės sodriečių klubas,302485338,Tauragės Sodriečių Klubas,302485338,TAIP,16 metų 22 dienos,2010-03-01,"Reda Betingienė, pirmininkas","Prezidento g. 42, Tauragė",+370 446 62333,
"Dainavos krašto amatininkų, menininkų ir tautodailininkų asociacija",302485174,"Dainavos Krašto Amatininkų, Menininkų ir Tautodailininkų Asociacija",302485174,TAIP,,2010-03-01,,"Senamiesčio g. 2, Lazdijai",,
"Klubas ""Smiginis LT""",302485053,"Klubas ""Smiginis Lt""",302485053,TAIP,16 metų 22 dienos,2010-03-01,"Tomas Šakys, prezidentas","Baltijos g. 56-62, Kaunas",+370 674 64696,
"VšĮ ""Mickūnų motokroso parkas""",302485046,"Mickūnų motokroso parkas, VšĮ",302485046,TAIP,16 metų 24 dienos,2010-03-01,Lukas Pakeltis,"Mickūnų g. 23, Mickūnų k., LT-29360 Anykščių r.",+370 685 69574,
"Sporto klubas ""Coffee Racers""",302485021,"Sporto Klubas ""Coffee Racers""",302485021,TAIP,,2010-03-01,,"Pylimo g. 34-10, LT-01134 Vilnius",,
Šakių LIONS klubas,302484841,Šakių Lions Klubas,302484841,TAIP,16 metų 22 dienos,2010-03-01,,"J. Basanavičiaus g. 28, Šakiai",+370 612 66175,
"Viešoji įstaiga ""Global Lithuanian Leaders""",302484453,"Global Lithuanian Leaders, VšĮ",302484453,TAIP,16 metų 25 dienos,2010-02-26,Neringa Smolskė,"Krokuvos g. 9A-29, LT-09314 Vilnius",+370 687 1135,http://www.lithuanianleaders.org
"DNSB ""Paupio dvaras""",302484364,"Paupio dvaras, DNSB",302484364,TAIP,16 metų 26 dienos,2010-02-25,,"Jaunystės g. 12-4, Klaipėda",+370 687 36990,
"Koncertinė įstaiga Valstybinis choras ""Vilnius""",302484147,"Koncertinė įstaiga valstybinis choras ""Vilnius""",302484147,TAIP,16 metų 27 dienos,2010-02-24,Deividas Staponkus,"Skroblų g. 19, Vilnius",+370 699 86568,http://www.chorasvilnius.lt
"Labdaros ir paramos fondas ""Mažoji širdelė""",302484122,"Labdaros ir Paramos Fondas ""Mažoji Širdelė""",302484122,TAIP,16 metų 26 dienos,2010-02-25,"Asta Grabažienė, direktorius","Krivių g. 48-16, Vilnius",+370 686 44777,http://www.mazojisirdele.lt
Lietuvos ekologinių ūkių asociacija,302484065,Lietuvos ekologinių ūkių asociacija,302484065,TAIP,16 metų 27 dienos,2010-02-24,"Mindaugas Petkevičius, pirmininkas","K. Donelaičio g. 2, Kaunas",+370 687 85505,http://www.ecofarms.lt/
Jaunųjų pirtininkų draugija,302483928,Jaunųjų pirtininkų draugija,302483928,TAIP,16 metų 27 dienos,2010-02-24,"Olga Vilkelienė, prezidentas","Žemutinės Batėgalos kel. 31, Batėgalos k., LT-55343 Jonavos r.",+370 607 99580,
"Tautinių šokių klubas ""Apsukinis""",302483700,"Tautinių Šokių Klubas ""Apsukinis""",302483700,TAIP,16 metų 1 mėnuo,2010-02-23,"Nijolė Masalskienė, vadovas","Rasytės g. 30-10, Kaunas",+370 600 90515,
Pajūrio pirčių ir alaus mėgėjų asociacija,302483675,Pajūrio Pirčių ir Alaus Mėgėjų Asociacija,302483675,TAIP,16 metų 1 mėnuo,2010-02-23,"Rimas Laurinavičius, prezidentas","Tauro 18-oji g. 25, Klaipėda",+370 621 17226,
"Daugiabučio namo savininkų bendrija ""Apusinas""",302483419,"Daugiabučio namo savininkų bendrija ""Apusinas""",302483419,TAIP,16 metų 1 mėnuo,2010-02-23,Marius Sušinskas,"R. Juknevičiaus g. 96-19, Marijampolė",+370 655 28182,
Klaipėdos pliažo tinklinio klubas,302483401,Klaipėdos Pliažo Tinklinio Klubas,302483401,TAIP,16 metų 1 mėnuo,2010-02-23,"Andrius Dumbauskas, direktorius","Žiobrių g. 12, Klaipėda",+370 698 10140,
Socialistinis liaudies frontas,302483248,Socialistinis liaudies frontas,302483248,TAIP,,2010-02-23,,"Tverečiaus g. 7-8, LT-10216 Vilnius",,http://www.slfrontas.lt/
"VšĮ ""Pinčiukai""",302482908,"Pinčiukai, VšĮ",302482908,TAIP,16 metų 1 mėnuo 3 dienos,2010-02-22,"Dainius Urbanavičius, direktorius","V. Grybo g. 43-17, Vilnius",+370 686 07752,
Marijampolės Rotaract klubas,302482897,Marijampolės Rotaract Klubas,302482897,TAIP,16 metų 1 mėnuo 1 diena,2010-02-22,,"Kęstučio g. 9-1, LT-68308 Marijampolė",+370 633 09999,http://www.rotaractmarijampole.lt
"VšĮ ""SK tempas""",302482819,"SK tempas, VšĮ",302482819,TAIP,16 metų 1 mėnuo 1 diena,2010-02-22,Rasa Paukšto,"Minijos g. 139-22, Klaipėda",+370 600 87502,
Lazdijų rajono Salų kaimo bendruomenės komitetas,302482737,Lazdijų rajono Salų kaimo bendruomenės komitetas,302482737,TAIP,16 metų 1 mėnuo 3 dienos,2010-02-20,"Vilma Juškauskienė, pirmininkė","Ežerų g. 55, Dumblio k., LT-67166 Lazdijų r.",+370 687 83262,
"Asociacija ""Ars Vivo""",302482662,"Asociacija ""Ars Vivo""",302482662,TAIP,,2010-02-20,,"Vilniaus g. 28-23, Šiauliai",,
"Ukmergės vaikų krepšinio klubas ""DRIBLINGAS""",302482534,"Ukmergės Vaikų Krepšinio Klubas ""Driblingas""",302482534,TAIP,16 metų 1 mėnuo,2010-02-23,"Rita Troškienė, prezidentas","Gruodžio 17-osios g. 40-3, Ukmergė",+370 656 18885,
"Bendruomenė ""Vaisiukai""",302482452,"Bendruomenė ""Vaisiukai""",302482452,TAIP,,2010-02-19,,"Vaisių g. 6, Karmėlava, LT-54448 Kauno r.",,
"Pagirių bendruomenė ""GLUOSNIS""",302482438,"Pagirių Bendruomenė ""Gluosnis""",302482438,TAIP,16 metų 1 mėnuo 1 diena,2010-02-22,,"Kadagių g. 6, Pagirių k., Vilniaus r.",+370 698 01065,
"Svėdasiškių draugija ""Alaušas""",302482413,"Svėdasiškių Draugija ""Alaušas""",302482413,TAIP,16 metų 1 mėnuo 4 dienos,2010-02-19,"Rita Skaržauskienė, pirmininkas","Kauno g. 3A, Vilnius",,
Kaunas Hockey klubas,302482406,"""Kaunas Hockey"" klubas",302482406,TAIP,16 metų 1 mėnuo 6 dienos,2010-02-19,Roberts Budahs,"Šiaurės pr. 51-26, LT-49201 Kaunas",,http://kaunashockey.lt
Vilnius Challenge,302482228,Asociacija Vilnius Challenge,302482228,TAIP,16 metų 1 mėnuo 4 dienos,2010-02-19,,"M. Valančiaus g. 3-2, Vilnius",+370 657 73970,http://www.vilniuschallenge.lt
"Viešoji įstaiga Sporto ir laisvalaikio klubas ""SALININKAI""",302482153,"Viešoji Įstaiga Sporto ir Laisvalaikio Klubas ""Salininkai""",302482153,TAIP,16 metų 1 mėnuo 5 dienos,2010-02-18,"Pranas Janušauskas, direktorius","Skaisteros g. 20, Vilnius",+370 698 17309,
"Viešoji įstaiga Kauno ledo ritulio mokykla ""GRIUNVALDAS""",302482114,"Kauno ledo ritulio mokykla ""GRIUNVALDAS"", VšĮ",302482114,TAIP,16 metų 1 mėnuo 5 dienos,2010-02-18,"Linas Paražinskas, direktorius","P. Galaunės g. 8, Kaunas",+370 686 88521,
"DAUGIABUČIO NAMO KALVARIJŲ G. 37, VILNIUJE, SAVININKŲ BENDRIJA",302481980,"Daugiabučio Namo Kalvarijų G. 37, Vilniuje, Savininkų Bendrija",302481980,TAIP,16 metų 1 mėnuo,2010-02-23,,"Kalvarijų g. 37-10, LT-09313 Vilnius",,
"VšĮ ""Šarmas""",302481973,"Šarmas, VšĮ",302481973,TAIP,16 metų 1 mėnuo 7 dienos,2010-02-18,,"Kaliekiškio k. 2, Kaliekiškio k., LT-28363 Utenos r.",+370 685 48294,
"VšĮ ""Tendance""",302481806,"VŠĮ ""Tendance""",302481806,TAIP,16 metų 1 mėnuo 5 dienos,2010-02-18,Dmitrij Popov,"Vyturio g. 3-37, Klaipėda",+370 650 97551,http://www.tendance.lt
"Asociacija ""Šiaulių apskrities azerbaidžaniečių draugija""",302481788,"Asociacija ""Šiaulių Apskrities Azerbaidžaniečių Draugija""",302481788,TAIP,,2010-02-18,,"Gegužių g. 75-45, Šiauliai",,
"Klubas ""MCC Damselfly""",302481667,"Klubas ""Mcc Damselfly""",302481667,TAIP,16 metų 1 mėnuo 6 dienos,2010-02-17,"Ramūnas Kašinskas, prezidentas","Nepriklausomybės g. 48, LT-70111 Vilkaviškis",+370 615 17036,
Stirniškių kaimo bendruomenė,302481585,Stirniškių kaimo bendruomenė,302481585,TAIP,16 metų 1 mėnuo 6 dienos,2010-02-17,,"Stirniškių g. 4, Stirniškių k., Vilkaviškio r.",+370 659 01034,
"Klubas ""Gamtos bičiuliai""",302481489,"Klubas ""Gamtos Bičiuliai""",302481489,TAIP,16 metų 1 mėnuo 6 dienos,2010-02-17,,"Samanykščio g. 8, Elektrėnai",+370 654 73926,
"Viešoji įstaiga ""Muzikos partizanai""",302481425,"Viešoji Įstaiga ""Muzikos Partizanai""",302481425,TAIP,,2010-02-17,,"Vydūno g. 23-61, Vilnius",,
"Daugiabučio namo Prancūzų g. 76, Kaunas, savininkų bendrija",302481286,"Daugiabučio Namo Prancūzų g. 76, Kaunas, Savininkų Bendrija",302481286,TAIP,16 metų 1 mėnuo 11 dienų,2010-02-12,"Dainius Jaremičius, pirmininkas","Prancūzų g. 76-11, LT-44463 Kaunas",+370 653 95288,
"Gyvenamųjų namų savininkų bendrija ""Saulėtosios valdos""",302481254,"Gyvenamųjų namų savininkų bendrija ""Saulėtosios valdos""",302481254,TAIP,16 metų 1 mėnuo 6 dienos,2010-02-17,,"Saulės g. 17-2, Gargždai, LT-96156 Klaipėdos r.",+370 645 55480,
Gudžių bendruomenė,302481247,Gudžių bendruomenė,302481247,TAIP,16 metų 1 mėnuo 11 dienų,2010-02-12,"Valdas Užusinas, pirmininkas","Mokyklos g. 1, Gudžių k., Varėnos r.",+370 616 89928,
"VšĮ ""Velo 2 velo""",302481133,"VŠĮ ""Velo 2 Velo""",302481133,TAIP,,2010-02-17,,"Valstiečių g. 1-3, LT-92206 Klaipėda",,http://www.velo2velo.weebly.com
"VšĮ ""Studija Eiva""",302481119,"Studija Eiva, VšĮ",302481119,TAIP,16 metų 1 mėnuo 11 dienų,2010-02-12,"Algis Kuzmickas, direktorius","Naugarduko g. 50A-30, Vilnius",+370 688 83248,http://www.litua.lt
"VšĮ ""GRATULATIONES""",302480825,"Gratulationes, VšĮ",302480825,TAIP,,2010-02-12,,"Jurgio Baltrušaičio g. 9-33, Vilnius",,
"Nardymo ir povandeninės medžioklės klubas ""Aukštyn lastais""",302480540,"Nardymo ir Povandeninės Medžioklės Klubas ""Aukštyn Lastais""",302480540,TAIP,16 metų 1 mėnuo 12 dienų,2010-02-11,"Vitalijus Terioškinas, prezidentas","Paupio g. 3, Kuktiškės, LT-28342 Utenos r.",+370 692 79700,
Jurbarko teniso klubas,302480483,Jurbarko Teniso Klubas,302480483,TAIP,16 metų 1 mėnuo 12 dienų,2010-02-11,,"Kriaušių g. 12, LT-74210 Jurbarkas",+370 699 64046,http://www.jurbarkotenisas.lt
"Moterų klubas ""Ad astra Kaunas""",302480476,"Moterų Klubas ""Ad Astra Kaunas""",302480476,TAIP,16 metų 1 mėnuo 12 dienų,2010-02-11,"Inga Budrienė, direktorius","Kuršių g. 44, Kaunas",+370 685 28117,
"DEPECHE MODE FAN CLUB ""SATELLITES""",302480355,"Depeche Mode Fan Club ""Satellites""",302480355,TAIP,16 metų 1 mėnuo 12 dienų,2010-02-11,"Arnas Kazlauskas, pirmininkas","Švitrigailos g. 10-7, Vilnius",+370 698 37530,http://www.satellites.lt
"VšĮ ""Mindraja""",302480348,"Mindraja, VšĮ",302480348,TAIP,16 metų 1 mėnuo 14 dienų,2010-02-11,Darius Barzdukas,"Šaulių g. 36, Marijampolė",+370 658 05637,http://www.mindraja.lt
"Viešoji įstaiga ""Tėviškės namai""",302480323,"Viešoji Įstaiga ""Tėviškės Namai""",302480323,TAIP,16 metų 1 mėnuo 12 dienų,2010-02-11,"Jonas Eimantas Balaika, direktorius","Zaidų k. 1, Zaidų k., LT-62182 Alytaus r.",+370 602 23561,http://www.teviskesnamai.lt
Vilniaus esperantininkų draugija,302480309,Vilniaus Esperantininkų Draugija,302480309,TAIP,16 metų 1 mėnuo 12 dienų,2010-02-11,,"Taikos g. 63-37, Vilnius",+370 611 75500,
"TAUTINIŲ ŠOKIŲ ANSAMBLIS ""SIETUVA""",302480184,"Tautinių Šokių Ansamblis ""Sietuva""",302480184,TAIP,16 metų 1 mėnuo 12 dienų,2010-02-11,"Artūras Radzys, prezidentas","Gurių Sodų 4-oji g. 25, Vilnius",+370 674 08391,https://sietuva.lt/
Darželių kaimo bendruomenė,302480138,Darželių kaimo bendruomenė,302480138,TAIP,16 metų 1 mėnuo 13 dienų,2010-02-10,"Inga Grigienė, pirmininkas","Raisto g. 6, Darželių k., LT-65304 Varėnos r.",+370 687 56747,
"Asociacija ""Buriuok""",302480024,"Asociacija ""Buriuok""",302480024,TAIP,,2010-02-10,,"Kovo 11-osios g. 63-18, Kaunas",,
"Viešoji įstaiga ""Lietuvos arboristikos centras""",302479787,"Viešoji Įstaiga ""Lietuvos Arboristikos Centras""",302479787,TAIP,16 metų 1 mėnuo 13 dienų,2010-02-10,Sigitas Algis Davenis,"I. Kanto al. 13-30, Vilnius",+370 699 88304,http://www.arboristai.lt
"Viešoji įstaiga ""Svarbus žingsnis""",302479730,"Viešoji Įstaiga ""Svarbus Žingsnis""",302479730,TAIP,16 metų 1 mėnuo 14 dienų,2010-02-09,"Oskaras Medzevičius, direktorius","Pylimo g. 8, Rusnė, Šilutės r.",+370 686 16749,http://www.svarbuszingsnis.lt
Aušgirių kaimo bendruomenė,302479709,Aušgirių kaimo bendruomenė,302479709,TAIP,16 metų 1 mėnuo 14 dienų,2010-02-09,"Jurgita Genutienė, pirmininkas","Girių g. 8, Aušgirių k., Pagėgiai",+370 699 93900,
"UAB ""Druskininkų autobusai"" profesinė sąjunga ""Solidarumas""",302479659,"UAB ""Druskininkų Autobusai"" Profesinė Sąjunga ""Solidarumas""",302479659,TAIP,,2010-02-09,,"Gardino g. 45, Druskininkai",,
Performatyvaus dizaino asociacija,302479545,Performatyvaus dizaino asociacija,302479545,TAIP,16 metų 1 mėnuo 16 dienų,2010-02-09,"Dovilė Gaižauskienė, direktorė","Vytauto g. 31-1, Vilnius",+370 626 07211,
"Alytaus sportinės žūklės klubas ""Taparas""",302479424,"Alytaus Sportinės Žūklės Klubas ""Taparas""",302479424,TAIP,16 metų 1 mėnuo 15 dienų,2010-02-08,"Vilmantas Šatas, pirmininkas","Kanklių g. 1, Alytus",+370 611 17341,
